Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Neli TSANKOVA POSITION,Neli TSANKOVA LAP TIME,Neli TSANKOVA ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
1,7.65,7.65,3,7.79,7.79,5,8.06,8.06,4,7.94,7.94,2,7.74,7.74
2,9.97,17.62,3,9.94,17.73,5,10.00,18.06,4,9.91,17.85,1,9.88,17.62
3,9.47,27.09,2,9.34,27.07,5,9.36,27.42,4,9.39,27.24,1,9.37,26.99
3,9.47,36.56,2,9.41,36.48,5,9.53,36.95,4,9.44,36.68,1,9.40,36.39
3,9.60,46.159,1,9.42,45.896,5,9.93,46.879,4,9.67,46.341,2,9.71,46.091
