LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,Benjamin OH POSITION,Benjamin OH LAP TIME,Benjamin OH ELAPSED TIME
3,7.31,7.31,1,7.00,7.00,2,7.19,7.19,4,7.41,7.41,5,7.55,7.55
3,8.98,16.29,1,9.14,16.14,2,9.02,16.21,4,9.24,16.65,5,9.18,16.73
2,8.80,25.09,3,9.02,25.16,1,8.73,24.94,4,8.90,25.55,5,8.89,25.62
1,8.68,33.77,3,9.00,34.16,2,9.12,34.06,4,9.01,34.56,5,9.12,34.74
1,8.85,42.62,3,9.29,43.423,2,9.32,43.38,4,9.51,44.046,5,9.78,44.498
