Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
3,14.810,14.810,2,14.700,14.700,1,14.650,14.650,0,,
3,12.240,27.050,1,12.150,26.860,4,12.600,27.260,2,0.000,26.870
4,11.140,38.200,3,11.130,38.000,1,10.420,37.690,2,11.050,37.920
3,10.400,48.610,2,10.390,48.390,4,11.200,48.890,1,10.420,48.340
3,10.020,58.630,2,10.070,58.470,4,9.830,58.720,1,10.040,58.390
3,9.790,1:08.430,2,9.740,1:08.210,4,9.890,1:08.620,1,9.730,1:08.120
2,9.800,1:18.230,1,9.890,1:18.100,3,9.860,1:18.480,0,,
2,9.960,1:28.200,4,10.780,1:28.890,3,9.730,1:28.210,1,0.000,1:27.920
1,9.920,1:38.120,4,11.180,1:40.070,2,9.920,1:38.140,3,10.270,1:38.200
