van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Gabrielle WILLIAMSON-DERRAUGH POSITION,Gabrielle WILLIAMSON-DERRAUGH LAP TIME,Gabrielle WILLIAMSON-DERRAUGH ELAPSED TIME,Anna SAMARINA POSITION,Anna SAMARINA LAP TIME,Anna SAMARINA ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME
1,14.56,14.56,2,14.66,14.66,3,14.80,14.80,4,14.91,14.91
1,11.90,26.46,2,11.89,26.55,3,11.84,26.64,4,11.84,26.75
1,12.00,38.46,2,12.00,38.55,3,12.03,38.67,4,11.94,38.69
1,11.20,49.66,2,11.17,49.72,4,11.22,49.89,3,11.07,49.76
1,10.75,1:00.41,2,10.77,1:00.49,4,10.79,1:00.68,3,10.81,1:00.57
1,10.48,1:10.89,2,10.43,1:10.92,4,10.50,1:11.18,3,10.48,1:11.05
2,10.51,1:21.40,1,10.21,1:21.13,4,10.52,1:21.70,3,10.52,1:21.57
2,10.35,1:31.75,1,10.16,1:31.29,4,10.61,1:32.31,3,10.40,1:31.97
2,10.55,1:42.294,1,10.41,1:41.700,4,11.10,1:43.402,3,10.43,1:42.397
