Borut MIGLIC POSITION,Borut MIGLIC LAP TIME,Borut MIGLIC ELAPSED TIME,Leon FLACK POSITION,Leon FLACK LAP TIME,Leon FLACK ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,MILASIUS Vitautas POSITION,MILASIUS Vitautas LAP TIME,MILASIUS Vitautas ELAPSED TIME
2,16.609,16.609,4,16.862,16.862,3,16.794,16.794,1,16.173,16.173
4,11.348,27.956,3,10.642,27.504,2,10.701,27.495,1,10.852,27.024
4,10.761,38.717,3,10.715,38.218,2,10.658,38.152,1,10.764,37.788
4,10.660,49.376,3,10.664,48.882,2,10.665,48.817,1,10.669,48.457
4,10.800,1:00.175,2,10.665,59.546,1,10.547,59.364,3,11.156,59.612
4,10.970,1:11.145,2,10.007,1:09.553,1,9.726,1:09.090,3,10.850,1:10.462
4,11.060,1:22.205,2,9.969,1:19.522,1,9.296,1:18.386,3,11.160,1:21.621
4,11.137,1:33.341,2,9.504,1:29.025,1,10.144,1:28.529,3,11.449,1:33.069
3,11.09,1:44.430,2,9.99,1:39.009,1,9.95,1:38.477,0,,DQ
