Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Khushboo SAINI POSITION,Khushboo SAINI LAP TIME,Khushboo SAINI ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME
1,9.2095,9.2095,4,9.6255,9.6255,2,9.3861,9.3861,3,9.5567,9.5567,5,9.6559,9.6559
1,13.5698,22.7793,5,14.3814,24.0069,2,13.6712,23.0573,3,13.5632,23.1199,4,13.5909,23.2468
1,13.3323,36.1116,5,13.9390,37.9459,3,13.3874,36.4447,2,13.0390,36.1589,4,13.2649,36.5117
3,13.7832,49.8948,5,14.5378,52.4837,1,13.1555,49.6002,2,13.5319,49.6908,4,13.4323,49.9440
4,12.8798,1:02.7746,5,13.4625,1:05.9462,2,12.8932,1:02.4934,3,13.0274,1:02.7182,1,12.5196,1:02.4636
4,11.6521,1:14.4267,5,13.8106,1:19.7568,3,11.7084,1:14.2018,1,11.2919,1:14.0101,2,11.6364,1:14.1000
4,10.8901,1:25.3168,5,14.8478,1:34.6046,1,10.3447,1:24.5465,2,10.8044,1:24.8145,3,10.9561,1:25.0561
4,10.5854,1:35.9022,5,16.1374,1:50.7420,1,10.6989,1:35.2454,2,10.4893,1:35.3038,3,10.4228,1:35.4789
4,11.1176,1:47.0198,5,16.6449,2:07.3869,2,10.1942,1:45.4396,1,10.1100,1:45.4138,3,10.2442,1:45.7231
4,11.6837,1:58.7035,5,16.0012,2:23.3881,2,10.2125,1:55.6521,1,9.9905,1:55.4043,3,9.9983,1:55.7214
4,12.1558,2:10.8593,5,17.4133,2:40.8014,2,9.9759,2:05.6280,1,10.0440,2:05.4483,3,9.9656,2:05.6870
4,12.4433,2:23.3026,5,15.7206,2:56.5220,3,10.2534,2:15.8814,1,9.6598,2:15.1081,2,10.0177,2:15.7047
4,12.5590,2:35.8616,5,15.8321,3:12.3541,2,9.5740,2:25.4554,1,9.8941,2:25.0022,3,10.4482,2:26.1529
4,13.03,2:48.883,5,16.49,3:28.844,2,10.53,2:35.979,1,10.26,2:35.255,3,11.46,2:37.612
