Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,Jakub BOROWSKI POSITION,Jakub BOROWSKI LAP TIME,Jakub BOROWSKI ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME
3,13.32,13.32,1,13.08,13.08,4,13.39,13.39,2,13.18,13.18,5,13.48,13.48
3,9.70,23.02,2,9.59,22.67,4,9.72,23.11,1,9.35,22.53,5,9.72,23.20
3,9.58,32.60,1,9.72,32.39,4,9.60,32.71,2,9.90,32.43,5,9.62,32.82
3,9.82,42.42,2,9.91,42.30,4,9.80,42.51,1,9.72,42.15,5,9.79,42.61
3,9.40,51.82,2,9.48,51.78,4,9.51,52.02,1,9.55,51.70,5,9.54,52.15
1,8.96,1:00.78,2,9.34,1:01.12,4,9.29,1:01.31,3,9.48,1:01.18,5,9.28,1:01.43
1,9.33,1:10.11,2,9.43,1:10.55,4,9.69,1:11.00,3,9.72,1:10.90,5,9.67,1:11.10
1,9.35,1:19.46,2,9.29,1:19.84,4,9.69,1:20.69,3,9.77,1:20.67,5,9.68,1:20.78
1,9.88,1:29.334,2,9.60,1:29.437,5,10.31,1:30.994,4,10.17,1:30.831,3,10.05,1:30.826
