YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
2,12.01,12.01,1,11.92,11.92,3,12.24,12.24,4,12.46,12.46
2,9.07,21.08,1,9.15,21.07,4,9.04,21.28,3,8.76,21.22
1,8.97,30.05,2,9.07,30.14,4,9.01,30.29,3,9.01,30.23
1,9.10,39.15,2,9.15,39.29,4,9.21,39.50,3,9.13,39.36
1,9.20,48.35,2,9.18,48.47,4,9.14,48.64,3,9.19,48.55
1,9.10,57.45,3,9.17,57.64,4,9.15,57.79,2,9.05,57.60
2,9.11,1:06.56,4,9.53,1:07.17,3,8.99,1:06.78,1,8.85,1:06.45
2,9.03,1:15.59,4,9.81,1:16.98,3,8.92,1:15.70,1,9.02,1:15.47
2,9.12,1:24.709,4,10.42,1:27.398,3,9.16,1:24.856,1,9.11,1:24.571
