CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME
5,14.29,14.29,4,13.96,13.96,1,13.71,13.71,3,13.91,13.91,2,13.81,13.81
5,10.16,24.45,4,10.24,24.20,1,10.23,23.94,3,10.19,24.10,2,10.21,24.02
5,10.08,34.53,4,10.17,34.37,1,10.08,34.02,3,10.16,34.26,2,10.09,34.11
5,9.63,44.16,4,9.77,44.14,1,9.82,43.84,3,9.79,44.05,2,9.83,43.94
3,9.38,53.54,5,9.69,53.83,2,9.63,53.47,4,9.59,53.64,1,9.48,53.42
2,9.48,1:03.02,5,9.76,1:03.59,3,9.75,1:03.22,4,9.66,1:03.30,1,9.46,1:02.88
2,9.52,1:12.54,5,9.94,1:13.53,3,9.72,1:12.94,4,9.78,1:13.08,1,9.58,1:12.46
1,9.82,1:22.36,5,11.97,1:25.50,3,9.78,1:22.72,4,9.78,1:22.86,2,9.93,1:22.39
1,9.95,1:32.31,5,18.65,1:44.15,0,10.27,1:32.99,0,10.22,1:33.08,2,10.24,1:32.63
