Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,6.70,6.70,2,6.86,6.86,3,7.09,7.09,4,7.31,7.31
1,9.18,15.88,2,9.23,16.09,3,9.16,16.25,4,9.16,16.47
1,8.86,24.74,2,8.86,24.95,3,8.78,25.03,4,9.60,26.07
2,9.05,33.79,1,8.78,33.73,3,9.10,34.13,4,9.40,35.47
2,9.34,43.129,1,9.23,42.955,3,9.34,43.466,4,9.72,45.184
