Shotaro TANAKA POSITION,Shotaro TANAKA LAP TIME,Shotaro TANAKA ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
1,8.790,8.790,5,9.100,9.100,4,9.030,9.030,6,10.380,10.380,3,8.990,8.990,2,8.990,8.990
2,15.390,24.190,3,15.450,24.560,5,15.710,24.740,4,14.290,24.680,6,15.880,24.880,1,15.180,24.180
3,14.260,38.450,5,14.000,38.560,4,13.720,38.460,1,13.100,37.780,6,13.970,38.850,2,14.030,38.210
4,11.580,50.040,5,11.570,50.140,2,11.400,49.870,1,11.900,49.690,6,11.400,50.250,3,11.680,49.900
4,10.930,1:00.970,5,11.100,1:01.240,2,10.910,1:00.790,1,10.820,1:00.520,6,11.060,1:01.320,3,10.920,1:00.820
2,9.670,1:10.650,5,9.810,1:11.060,3,10.010,1:10.800,1,9.910,1:10.430,6,9.990,1:11.310,4,10.020,1:10.840
2,9.730,1:20.390,5,9.710,1:20.770,1,9.520,1:20.320,3,10.040,1:20.470,6,9.650,1:20.960,4,9.760,1:20.600
5,10.230,1:30.620,4,9.830,1:30.610,2,9.940,1:30.270,1,9.610,1:30.080,6,9.900,1:30.870,3,9.900,1:30.500
4,9.960,1:40.590,5,10.130,1:40.740,2,10.070,1:40.340,3,10.290,1:40.380,6,10.090,1:40.960,1,9.800,1:40.300
4,9.680,1:50.270,5,9.660,1:50.410,1,9.740,1:50.090,3,9.780,1:50.170,6,9.750,1:50.710,2,9.790,1:50.090
5,9.840,2:00.120,4,9.570,1:59.980,2,9.670,1:59.760,1,9.350,1:59.530,6,10.080,2:00.800,3,9.760,1:59.860
5,9.350,2:09.480,4,9.380,2:09.360,2,9.390,2:09.150,1,9.250,2:08.780,6,10.210,2:11.010,3,9.380,2:09.250
5,9.320,2:18.800,4,9.400,2:18.770,2,9.420,2:18.570,1,9.540,2:18.320,6,10.760,2:21.780,3,9.380,2:18.630
3,10.000,2:28.810,2,9.480,2:28.260,6,23.630,2:42.210,1,9.180,2:27.510,4,10.790,2:32.570,5,19.580,2:38.210
