John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,David GOULET POSITION,David GOULET LAP TIME,David GOULET ELAPSED TIME,Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
2,8.95,8.95,3,9.05,9.05,1,8.72,8.72,4,9.25,9.25,6,9.38,9.38,5,9.28,9.28
2,11.40,20.35,4,11.54,20.59,3,11.77,20.49,5,11.44,20.69,6,11.44,20.82,1,10.91,20.19
1,10.95,31.30,4,11.00,31.59,3,10.99,31.48,6,11.03,31.72,5,10.80,31.62,2,11.13,31.32
1,10.93,42.23,4,11.00,42.59,3,11.02,42.50,6,11.19,42.91,5,11.15,42.77,2,11.03,42.35
1,11.45,53.68,5,11.46,54.05,3,11.44,53.94,6,11.28,54.19,4,11.21,53.98,2,11.46,53.81
2,10.71,1:04.39,4,10.47,1:04.52,3,10.47,1:04.41,5,10.43,1:04.62,1,10.33,1:04.31,6,10.84,1:04.65
4,9.98,1:14.37,3,9.85,1:14.37,2,9.87,1:14.28,5,9.86,1:14.48,1,9.93,1:14.24,6,10.05,1:14.70
5,17.69,1:32.06,6,18.36,1:32.73,2,10.37,1:24.65,3,10.24,1:24.72,1,10.31,1:24.55,4,10.62,1:25.32
6,32.70,2:04.76,5,20.42,1:53.15,1,10.18,1:34.83,3,10.40,1:35.12,2,10.45,1:35.00,4,11.00,1:36.32
6,22.71,2:27.47,5,16.50,2:09.65,1,10.29,1:45.12,3,10.14,1:45.26,2,10.23,1:45.23,4,9.93,1:46.25
6,14.46,2:41.93,5,17.40,2:27.05,2,10.21,1:55.33,3,10.29,1:55.55,1,9.82,1:55.05,4,9.88,1:56.13
6,12.20,2:54.13,5,14.53,2:41.58,2,9.96,2:05.29,3,9.95,2:05.50,1,9.52,2:04.57,4,10.16,2:06.29
6,11.71,3:05.84,5,12.20,2:53.78,2,10.20,2:15.49,3,10.11,2:15.61,1,9.92,2:14.49,4,11.00,2:17.29
6,12.23,3:18.070,5,12.19,3:05.969,2,10.23,2:25.712,3,10.20,2:25.801,1,10.48,2:24.966,4,12.88,2:30.168
