Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME
1,12.47,12.47,3,12.70,12.70,2,12.61,12.61
1,9.76,22.23,3,9.72,22.42,2,9.73,22.34
1,9.80,32.03,3,9.82,32.24,2,9.80,32.14
1,9.72,41.75,3,9.74,41.98,2,9.75,41.89
1,9.69,51.44,3,9.65,51.63,2,9.65,51.54
1,9.69,1:01.13,3,9.70,1:01.33,2,9.70,1:01.24
3,9.81,1:10.94,2,9.51,1:10.84,1,9.45,1:10.69
3,9.91,1:20.85,2,9.32,1:20.16,1,9.44,1:20.13
3,10.06,1:30.905,1,9.42,1:29.572,2,9.68,1:29.803
