Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
2,8.56,8.56,3,8.67,8.67,1,8.44,8.44,5,8.96,8.96,4,8.78,8.78
2,12.30,20.86,3,12.37,21.04,1,12.31,20.75,5,12.41,21.37,4,12.35,21.13
1,11.63,32.49,5,11.90,32.94,2,11.93,32.68,4,11.54,32.91,3,11.73,32.86
1,11.63,44.12,4,11.55,44.49,2,11.61,44.29,5,11.66,44.57,3,11.55,44.41
2,11.08,55.20,1,10.55,55.04,3,10.96,55.25,5,11.07,55.64,4,10.95,55.36
2,11.15,1:06.35,1,11.13,1:06.17,3,11.24,1:06.49,5,11.10,1:06.74,4,11.14,1:06.50
2,10.96,1:17.31,1,11.00,1:17.17,3,10.94,1:17.43,5,10.98,1:17.72,4,10.99,1:17.49
2,10.47,1:27.78,1,10.54,1:27.71,4,10.58,1:28.01,5,10.48,1:28.20,3,10.49,1:27.98
2,9.99,1:37.77,1,9.96,1:37.67,3,9.78,1:37.79,5,9.89,1:38.09,4,10.06,1:38.04
2,9.76,1:47.53,1,9.75,1:47.42,3,9.83,1:47.62,5,9.63,1:47.72,4,9.68,1:47.72
2,9.46,1:56.99,1,9.44,1:56.86,4,9.52,1:57.14,5,9.47,1:57.19,3,9.38,1:57.10
3,9.62,2:06.61,1,9.51,2:06.37,2,9.44,2:06.58,5,9.67,2:06.86,4,9.67,2:06.77
3,9.44,2:16.05,1,9.55,2:15.92,2,9.42,2:16.00,5,9.71,2:16.57,4,9.47,2:16.24
3,9.77,2:25.816,1,9.68,2:25.598,2,9.71,2:25.702,5,9.84,2:26.404,4,9.61,2:25.851
