Maxime LAOUN POSITION,Maxime LAOUN LAP TIME,Maxime LAOUN ELAPSED TIME,JUNG Yanghun Ben POSITION,JUNG Yanghun Ben LAP TIME,JUNG Yanghun Ben ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,VIGANTS Endijs POSITION,VIGANTS Endijs LAP TIME,VIGANTS Endijs ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME
1,12.85,12.85,3,13.04,13.04,5,13.35,13.35,4,13.27,13.27,2,12.94,12.94
2,10.11,22.96,3,10.04,23.08,4,9.85,23.20,5,10.00,23.27,1,9.86,22.80
2,9.53,32.49,3,9.49,32.57,4,9.42,32.62,5,9.54,32.81,1,9.56,32.36
2,9.29,41.78,4,9.41,41.98,3,9.26,41.88,5,9.42,42.23,1,9.29,41.65
2,9.09,50.87,4,9.12,51.10,3,9.13,51.01,5,9.29,51.52,1,9.12,50.77
1,8.91,59.78,4,8.91,1:00.01,3,8.99,1:00.00,5,9.35,1:00.87,2,9.02,59.79
1,8.82,1:08.60,3,8.92,1:08.93,4,9.12,1:09.12,5,9.52,1:10.39,2,8.89,1:08.68
1,8.82,1:17.42,3,8.82,1:17.75,4,9.20,1:18.32,5,9.84,1:20.23,2,8.86,1:17.54
1,9.03,1:26.45,3,9.05,1:26.809,4,9.69,1:28.013,5,10.30,1:30.530,2,8.96,1:26.50
