Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
3,14.43,14.43,1,14.20,14.20,4,14.67,14.67,2,14.30,14.30
3,10.94,25.37,1,10.98,25.18,4,10.83,25.50,2,10.97,25.27
3,10.77,36.14,1,10.74,35.92,4,10.81,36.31,2,10.75,36.02
3,10.53,46.67,1,10.54,46.46,4,10.54,46.85,2,10.52,46.54
3,10.36,57.03,1,10.37,56.83,4,10.30,57.15,2,10.38,56.92
4,9.79,1:06.82,1,9.82,1:06.65,3,9.66,1:06.81,2,9.79,1:06.71
4,9.53,1:16.35,2,9.46,1:16.11,1,9.00,1:15.81,3,9.50,1:16.21
4,9.28,1:25.63,2,9.08,1:25.19,1,8.97,1:24.78,3,9.08,1:25.29
4,9.53,1:35.159,2,9.19,1:34.378,1,9.31,1:34.090,3,9.14,1:34.429
