THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Sandra TRUSOVA POSITION,Sandra TRUSOVA LAP TIME,Sandra TRUSOVA ELAPSED TIME
3,15.71,15.71,5,16.01,16.01,4,15.88,15.88,1,15.47,15.47,2,15.56,15.56
3,11.69,27.40,5,11.65,27.66,4,11.66,27.54,2,11.78,27.25,1,11.63,27.19
3,10.62,38.02,4,10.51,38.17,5,10.64,38.18,2,10.75,38.00,1,10.71,37.90
2,9.87,47.89,1,9.71,47.88,3,9.84,48.02,4,10.07,48.07,5,10.43,48.33
2,9.73,57.62,1,9.65,57.53,3,9.70,57.72,4,9.75,57.82,5,10.02,58.35
2,9.77,1:07.39,1,9.76,1:07.29,3,9.81,1:07.53,4,9.83,1:07.65,5,10.17,1:08.52
2,9.74,1:17.13,1,9.75,1:17.04,3,9.72,1:17.25,4,9.76,1:17.41,5,10.59,1:19.11
2,9.71,1:26.84,1,9.76,1:26.80,3,9.70,1:26.95,4,10.12,1:27.53,5,10.99,1:30.10
2,10.26,1:37.086,3,10.42,1:37.203,1,9.82,1:36.754,4,10.32,1:37.846,5,11.24,1:41.332
