Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME
2,12.36,12.36,1,12.25,12.25,3,12.44,12.44,4,12.52,12.52,5,12.64,12.64
2,9.74,22.10,1,9.73,21.98,3,9.74,22.18,4,9.74,22.26,5,9.74,22.38
1,9.29,31.39,3,9.59,31.57,2,9.34,31.52,4,9.40,31.66,5,9.45,31.83
1,9.51,40.90,3,9.50,41.07,2,9.48,41.00,4,9.49,41.15,5,9.43,41.26
1,9.52,50.42,3,9.49,50.56,2,9.49,50.49,4,9.52,50.67,5,9.50,50.76
1,9.63,1:00.05,3,9.69,1:00.25,2,9.65,1:00.14,4,9.70,1:00.37,5,9.72,1:00.48
1,9.41,1:09.46,3,9.41,1:09.66,2,9.42,1:09.56,4,9.38,1:09.75,5,9.41,1:09.89
1,9.17,1:18.63,4,9.23,1:18.89,2,9.21,1:18.77,3,9.05,1:18.80,5,9.50,1:19.39
1,9.21,1:27.834,3,9.31,1:28.195,2,9.36,1:28.127,0,,DQ,4,9.85,1:29.232
