CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
3,8.47,8.47,2,8.33,8.33,1,8.13,8.13,4,8.61,8.61,5,8.73,8.73,6,8.77,8.77
4,11.66,20.13,3,11.68,20.01,2,11.76,19.89,5,11.65,20.26,1,11.09,19.82,6,11.62,20.39
1,11.15,31.28,3,11.30,31.31,4,11.53,31.42,5,11.34,31.60,2,11.48,31.30,6,11.32,31.71
2,10.87,42.15,3,10.95,42.26,4,10.92,42.34,6,10.86,42.46,1,10.74,42.04,5,10.72,42.43
3,10.36,52.51,5,10.46,52.72,4,10.25,52.59,6,10.29,52.75,1,10.29,52.33,2,9.97,52.40
3,10.05,1:02.56,6,9.96,1:02.68,5,10.04,1:02.63,4,9.84,1:02.59,1,10.06,1:02.39,2,10.11,1:02.51
3,9.93,1:12.49,4,9.83,1:12.51,1,9.59,1:12.22,6,10.20,1:12.79,5,10.15,1:12.54,2,9.86,1:12.37
4,9.65,1:22.14,3,9.53,1:22.04,1,9.66,1:21.88,5,9.42,1:22.21,6,9.72,1:22.26,2,9.59,1:21.96
4,9.78,1:31.92,3,9.75,1:31.79,1,9.74,1:31.62,5,9.83,1:32.04,6,9.90,1:32.16,2,9.77,1:31.73
4,9.71,1:41.63,2,9.60,1:41.39,1,9.75,1:41.37,6,9.73,1:41.77,5,9.56,1:41.72,3,9.72,1:41.45
4,9.34,1:50.97,1,9.19,1:50.58,2,9.36,1:50.73,6,9.45,1:51.22,5,9.37,1:51.09,3,9.39,1:50.84
4,9.16,2:00.13,1,9.12,1:59.70,2,9.15,1:59.88,6,9.21,2:00.43,5,9.14,2:00.23,3,9.16,2:00.00
3,9.17,2:09.30,1,9.16,2:08.86,5,9.51,2:09.39,6,9.44,2:09.87,4,9.10,2:09.33,2,9.07,2:09.07
3,9.37,2:18.667,1,9.42,2:18.279,5,9.94,2:19.330,6,9.73,2:19.601,4,9.59,2:18.915,2,9.22,2:18.286
