Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
4,15.69,15.69,3,15.45,15.45,5,15.82,15.82,1,15.31,15.31,2,15.42,15.42
4,10.79,26.48,3,10.91,26.36,5,10.73,26.55,1,10.76,26.07,2,10.83,26.25
4,10.44,36.92,3,10.43,36.79,5,10.44,36.99,1,10.49,36.56,2,10.44,36.69
4,10.25,47.17,3,10.24,47.03,5,10.28,47.27,1,10.19,46.75,2,10.19,46.88
4,9.87,57.04,3,9.90,56.93,5,9.87,57.14,1,9.79,56.54,2,9.84,56.72
3,9.62,1:06.66,4,10.00,1:06.93,5,9.83,1:06.97,1,9.55,1:06.09,2,9.52,1:06.24
3,9.27,1:15.93,5,10.64,1:17.57,4,10.44,1:17.41,1,9.49,1:15.58,2,9.54,1:15.78
3,9.48,1:25.41,5,10.62,1:28.19,4,10.62,1:28.03,1,9.65,1:25.23,2,9.53,1:25.31
0,,PHOTO,5,10.92,1:39.095,4,10.88,1:38.889,3,,1:35.057,1,9.63,1:34.94
