Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Olesya OSKINA POSITION,Olesya OSKINA LAP TIME,Olesya OSKINA ELAPSED TIME
3,35.357,35.357,1,34.983,34.983,2,35.097,35.097,4,35.382,35.382
4,10.750,46.106,1,10.075,45.057,2,10.028,45.124,3,10.151,45.533
4,10.128,56.233,1,9.742,54.799,2,9.951,55.075,3,9.686,55.219
4,10.281,1:06.514,1,10.084,1:04.883,2,9.962,1:05.036,3,9.887,1:05.105
3,,50.271,1,,47.664,2,,47.791,4,,1:00.012
