Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME
2,16.25,16.25,4,16.39,16.39,1,16.14,16.14,3,16.37,16.37
4,11.60,27.85,3,11.28,27.67,1,11.29,27.43,2,11.18,27.55
3,10.48,38.33,4,10.69,38.36,1,10.71,38.14,2,10.69,38.24
1,9.47,47.80,4,9.74,48.10,2,9.73,47.87,3,9.73,47.97
1,9.54,57.34,4,9.59,57.69,2,9.58,57.45,3,9.60,57.57
1,9.37,1:06.71,4,9.44,1:07.13,2,9.36,1:06.81,3,9.33,1:06.90
1,9.19,1:15.90,4,9.34,1:16.47,2,9.20,1:16.01,3,9.23,1:16.13
1,9.04,1:24.94,4,9.60,1:26.07,2,9.05,1:25.06,3,9.16,1:25.29
1,8.88,1:33.827,4,9.83,1:35.905,2,8.87,1:33.938,3,9.37,1:34.662
