Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
2,9.53,9.53,3,9.65,9.65,5,9.93,9.93,4,9.80,9.80,6,9.98,9.98,1,9.42,9.42
1,13.07,22.60,5,13.24,22.89,4,12.78,22.71,6,13.12,22.92,3,12.64,22.62,2,13.20,22.62
1,11.02,33.62,6,11.33,34.22,5,11.35,34.06,4,10.99,33.91,3,11.19,33.81,2,11.11,33.73
1,11.09,44.71,6,11.05,45.27,5,11.06,45.12,4,11.07,44.98,3,11.07,44.88,2,11.08,44.81
1,11.16,55.87,6,11.15,56.42,5,11.16,56.28,4,11.20,56.18,3,11.19,56.07,2,11.17,55.98
1,11.18,1:07.05,6,11.16,1:07.58,5,11.20,1:07.48,4,11.17,1:07.35,3,11.19,1:07.26,2,11.16,1:07.14
1,11.01,1:18.06,6,11.09,1:18.67,5,10.95,1:18.43,4,11.07,1:18.42,3,11.04,1:18.30,2,11.03,1:18.17
2,10.16,1:28.22,5,9.92,1:28.59,6,10.19,1:28.62,4,10.10,1:28.52,3,10.04,1:28.34,1,9.95,1:28.12
2,9.85,1:38.07,4,9.72,1:38.31,6,9.89,1:38.51,5,9.79,1:38.31,3,9.85,1:38.19,1,9.87,1:37.99
1,9.38,1:47.45,4,9.47,1:47.78,6,9.46,1:47.97,5,9.55,1:47.86,3,9.42,1:47.61,2,9.56,1:47.55
1,9.25,1:56.70,4,9.19,1:56.97,5,9.37,1:57.34,6,9.58,1:57.44,3,9.27,1:56.88,2,9.31,1:56.86
1,9.12,2:05.82,4,9.36,2:06.33,5,9.26,2:06.60,6,10.73,2:08.17,2,9.20,2:06.08,3,9.35,2:06.21
1,9.40,2:15.22,4,9.54,2:15.87,5,9.39,2:15.99,6,11.95,2:20.12,2,9.26,2:15.34,3,9.50,2:15.71
2,9.66,2:24.877,5,9.84,2:25.708,4,9.46,2:25.449,6,13.11,2:33.229,1,9.36,2:24.700,3,9.65,2:25.358
