Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME
6,9.359,9.359,3,8.859,8.859,5,9.115,9.115,4,8.876,8.876,1,8.687,8.687,2,8.730,8.730
6,11.820,21.178,3,11.859,20.717,5,11.883,20.997,4,12.018,20.894,1,11.774,20.461,2,11.913,20.642
6,11.574,32.751,3,11.735,32.451,5,11.606,32.603,4,11.668,32.561,1,11.751,32.211,2,11.662,32.304
6,10.899,43.650,3,10.857,43.308,1,10.397,42.999,5,11.044,43.605,2,10.930,43.140,4,11.033,43.336
4,10.106,53.756,3,10.407,53.714,2,10.605,53.603,6,10.294,53.898,1,10.431,53.571,5,10.490,53.826
2,9.753,1:03.508,6,10.250,1:03.964,4,10.224,1:03.827,5,10.016,1:03.914,3,10.119,1:03.689,1,9.678,1:03.503
1,9.741,1:13.248,3,9.473,1:13.436,5,9.758,1:13.585,6,9.759,1:13.672,2,9.715,1:13.404,4,9.975,1:13.478
1,9.989,1:23.236,6,10.101,1:23.537,3,9.835,1:23.419,5,9.842,1:23.513,2,9.990,1:23.393,4,10.003,1:23.480
2,9.735,1:32.971,5,9.845,1:33.382,3,9.817,1:33.235,6,9.894,1:33.407,1,9.394,1:32.787,4,9.825,1:33.305
4,9.856,1:42.826,5,9.648,1:43.030,2,9.477,1:42.712,6,9.785,1:43.192,1,9.796,1:42.582,3,9.443,1:42.748
2,9.699,1:52.525,4,9.654,1:52.683,3,9.850,1:52.561,5,9.574,1:52.765,1,9.936,1:52.518,6,10.123,1:52.871
2,10.054,2:02.579,4,10.023,2:02.706,3,10.108,2:02.668,6,10.119,2:02.884,1,10.059,2:02.577,5,9.958,2:02.828
3,9.829,2:12.408,6,10.479,2:13.184,1,9.629,2:12.297,5,10.127,2:13.010,4,10.347,2:12.923,2,9.544,2:12.371
2,9.85,2:22.254,4,10.12,2:23.301,1,9.88,2:22.171,5,10.30,2:23.309,6,12.30,2:25.221,3,9.94,2:22.311
