SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
4,15.68,15.68,2,13.31,13.31,3,13.41,13.41,1,12.52,12.52
2,6.92,22.60,4,9.48,22.79,3,9.24,22.65,1,9.19,21.71
2,9.22,31.82,3,9.38,32.17,4,9.57,32.22,1,9.07,30.78
2,8.93,40.75,4,9.27,41.44,3,9.05,41.27,1,9.18,39.96
2,9.30,50.05,3,9.12,50.56,4,9.44,50.71,1,9.31,49.27
2,9.24,59.29,3,8.98,59.54,4,9.06,59.77,1,9.58,58.85
1,8.90,1:08.19,3,8.87,1:08.41,4,9.05,1:08.82,2,9.55,1:08.40
1,9.04,1:17.23,2,9.10,1:17.51,3,9.01,1:17.83,4,9.84,1:18.24
2,9.81,1:27.039,1,9.28,1:26.786,3,9.80,1:27.626,4,10.22,1:28.455
