Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME
1,12.85,,3,13.00,13.00,5,13.21,13.21,2,12.94,12.94,4,13.05,13.05
1,10.02,,4,10.09,23.09,5,10.06,23.27,2,10.01,22.95,3,10.00,23.05
2,9.46,,3,9.25,32.34,5,9.36,32.63,1,9.28,32.23,4,9.37,32.42
3,9.26,,4,9.35,41.69,5,9.17,41.80,1,9.18,41.41,2,9.06,41.48
3,9.14,,4,9.16,50.85,5,9.18,50.98,1,9.11,50.52,2,9.13,50.61
3,9.05,,4,9.14,59.99,5,9.11,1:00.09,1,9.07,59.59,2,9.07,59.68
3,9.05,,5,9.58,1:09.57,4,9.02,1:09.11,1,9.05,1:08.64,2,9.07,1:08.75
2,8.99,,5,10.61,1:20.18,4,8.98,1:18.09,1,9.05,1:17.69,3,9.32,1:18.07
2,9.16,,4,11.91,1:32.064,3,9.07,1:27.16,1,9.20,1:26.89,4,9.44,1:27.51
