KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
5,9.39,9.39,3,9.22,9.22,6,9.53,9.53,7,9.64,9.64,2,9.09,9.09,1,8.95,8.95,4,9.24,9.24
5,12.01,21.40,2,11.89,21.11,6,12.01,21.54,7,12.03,21.67,3,12.11,21.20,4,12.35,21.30,1,11.76,21.00
5,11.35,32.75,4,11.60,32.71,6,11.32,32.86,7,11.33,33.00,1,11.30,32.50,3,11.33,32.63,2,11.59,32.59
1,9.92,42.67,7,10.36,43.07,2,9.86,42.72,3,9.74,42.74,5,10.37,42.87,4,10.16,42.79,6,10.36,42.95
2,10.01,52.68,7,10.17,53.24,3,10.07,52.79,1,9.84,52.58,4,10.00,52.87,5,10.18,52.97,6,10.17,53.12
3,10.32,1:03.00,7,10.16,1:03.40,2,10.07,1:02.86,1,10.24,1:02.82,4,10.22,1:03.09,5,10.25,1:03.22,6,10.15,1:03.27
1,9.81,1:12.81,7,9.93,1:13.33,2,9.99,1:12.85,3,10.10,1:12.92,4,9.91,1:13.00,5,9.88,1:13.10,6,9.95,1:13.22
1,9.66,1:22.47,7,9.73,1:23.06,2,9.71,1:22.56,4,9.84,1:22.76,3,9.66,1:22.66,5,9.77,1:22.87,6,9.76,1:22.98
1,9.61,1:32.08,7,9.65,1:32.71,2,9.62,1:32.18,4,9.61,1:32.37,3,9.63,1:32.29,5,9.54,1:32.41,6,9.60,1:32.58
1,9.39,1:41.47,7,9.37,1:42.08,2,9.36,1:41.54,6,9.68,1:42.05,3,9.39,1:41.68,4,9.37,1:41.78,5,9.31,1:41.89
1,9.08,1:50.55,7,9.23,1:51.31,2,9.10,1:50.64,6,9.07,1:51.12,3,9.17,1:50.85,4,9.17,1:50.95,5,9.14,1:51.03
1,8.97,1:59.52,7,8.96,2:00.27,2,8.97,1:59.61,6,8.93,2:00.05,3,8.90,1:59.75,4,8.90,1:59.85,5,8.92,1:59.95
1,9.13,2:08.65,7,9.06,2:09.33,2,9.14,2:08.75,6,9.03,2:09.08,3,9.09,2:08.84,4,9.02,2:08.87,5,9.00,2:08.95
1,9.27,2:17.919,4,9.56,2:18.882,5,39.56,2:48.303,3,9.33,2:18.401,6,1:06.89,3:15.724,0,,YC,2,9.11,2:18.051
