Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
1,14.07,14.07,2,14.16,14.16,3,14.28,14.28,4,14.41,14.41
1,10.99,25.06,2,10.98,25.14,3,10.97,25.25,4,10.96,25.37
1,10.61,35.67,2,10.65,35.79,3,10.68,35.93,4,10.67,36.04
1,9.66,45.33,3,9.64,45.43,2,9.43,45.36,4,9.54,45.58
2,9.13,54.46,3,9.12,54.55,1,9.00,54.36,4,9.06,54.64
1,8.97,1:03.43,3,9.07,1:03.62,2,9.16,1:03.52,4,9.09,1:03.73
1,9.03,1:12.46,2,8.91,1:12.53,4,9.22,1:12.74,3,8.95,1:12.68
1,8.92,1:21.38,2,8.95,1:21.48,4,9.32,1:22.06,3,8.91,1:21.59
1,9.02,1:30.396,2,9.03,1:30.507,4,9.33,1:31.388,3,9.03,1:30.613
