Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Jan-Ebele van der REE POSITION,Jan-Ebele van der REE LAP TIME,Jan-Ebele van der REE ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
4,13.99,13.99,1,13.71,13.71,2,13.72,13.72,3,13.89,13.89
4,10.12,24.11,2,10.20,23.91,1,10.09,23.81,3,10.14,24.03
4,10.39,34.50,2,10.42,34.33,1,10.42,34.23,3,10.41,34.44
1,9.99,44.49,4,16.34,50.67,3,10.58,44.81,2,10.27,44.71
1,9.55,54.04,4,14.57,1:05.24,3,9.41,54.22,2,9.45,54.16
1,9.56,1:03.60,4,11.64,1:16.88,2,9.46,1:03.68,3,9.62,1:03.78
1,9.51,1:13.11,4,11.46,1:28.34,2,9.53,1:13.21,3,9.54,1:13.32
1,9.50,1:22.61,4,11.96,1:40.30,2,9.49,1:22.70,3,9.52,1:22.84
1,9.73,1:32.338,0,,PEN,2,9.73,1:32.423,3,9.69,1:32.523
