Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
1,6.72,6.72,2,6.75,6.75,3,6.92,6.92,4,7.07,7.07
2,8.94,15.66,1,8.85,15.60,3,8.96,15.88,4,9.17,16.24
2,8.44,24.10,1,8.44,24.04,3,8.35,24.23,4,8.30,24.55
2,8.40,32.51,1,8.40,32.44,3,8.29,32.52,4,8.44,32.99
1,8.68,41.185,2,8.78,41.220,3,8.77,41.287,4,8.76,41.748
