Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME
3,13.19,13.19,1,13.02,13.02,2,13.10,13.10,5,13.50,13.50,4,13.29,13.29
4,10.36,23.55,1,10.23,23.25,2,10.23,23.33,5,10.16,23.66,3,10.17,23.46
4,9.89,33.44,1,9.94,33.19,3,9.95,33.28,5,10.01,33.67,2,9.80,33.26
3,9.44,42.88,1,9.45,42.64,4,9.73,43.01,5,9.74,43.41,2,9.52,42.78
3,9.15,52.03,1,9.20,51.84,4,9.12,52.13,5,9.81,53.22,2,9.08,51.86
4,9.01,1:01.04,2,9.02,1:00.86,3,8.91,1:01.04,5,10.20,1:03.42,1,8.92,1:00.78
4,9.21,1:10.25,2,9.11,1:09.97,3,9.01,1:10.05,5,10.64,1:14.06,1,9.01,1:09.79
4,9.50,1:19.75,2,9.21,1:19.18,3,9.28,1:19.33,5,11.31,1:25.37,1,9.08,1:18.87
3,9.77,1:29.514,0,,PEN,2,9.38,1:28.703,4,11.67,1:37.039,1,9.39,1:28.251
