HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME
1,8.670,8.670,4,9.220,9.220,7,9.710,9.710,5,9.290,9.290,3,9.020,9.020,2,8.690,8.690,6,9.510,9.510
2,12.510,21.190,5,12.250,21.480,7,11.950,21.670,4,12.100,21.400,3,12.340,21.360,1,12.180,20.880,6,12.060,21.570
2,10.920,32.110,5,10.880,32.360,7,11.130,32.800,4,10.950,32.350,1,10.710,32.070,3,11.310,32.200,6,11.100,32.680
1,10.400,42.510,6,10.670,43.040,5,10.150,42.950,4,10.450,42.800,2,10.580,42.660,3,10.490,42.690,7,10.420,43.100
1,10.270,52.790,4,10.200,53.250,5,10.380,53.340,6,10.590,53.390,2,10.320,52.990,3,10.490,53.190,7,10.320,53.430
1,10.000,1:02.790,6,9.920,1:03.170,5,9.770,1:03.110,2,9.470,1:02.870,4,10.070,1:03.060,3,9.760,1:02.950,7,9.880,1:03.310
2,10.050,1:12.840,5,9.900,1:13.070,6,9.990,1:13.110,3,10.000,1:12.880,4,9.980,1:13.050,1,9.770,1:12.730,7,10.020,1:13.340
2,9.900,1:22.750,5,10.070,1:23.140,6,10.040,1:23.160,3,10.220,1:23.100,4,10.050,1:23.100,1,10.010,1:22.740,7,10.040,1:23.380
2,9.600,1:32.360,5,9.610,1:32.750,1,9.130,1:32.300,7,9.940,1:33.050,4,9.510,1:32.610,3,9.780,1:32.530,6,9.480,1:32.870
2,9.190,1:41.560,5,9.220,1:41.980,1,8.650,1:40.950,3,8.590,1:41.640,4,9.100,1:41.720,6,9.530,1:42.060,7,9.280,1:42.150
2,9.520,1:51.080,5,9.430,1:51.420,1,8.920,1:49.870,4,9.670,1:51.310,3,9.520,1:51.250,7,9.530,1:51.590,6,9.350,1:51.510
2,9.330,2:00.410,5,9.450,2:00.870,1,9.440,1:59.310,4,9.410,2:00.730,3,9.460,2:00.720,7,9.870,2:01.470,6,9.510,2:01.020
7,13.620,2:14.030,5,10.220,2:11.100,1,9.730,2:09.050,2,9.070,2:09.800,3,9.320,2:10.040,6,9.980,2:11.450,4,9.190,2:10.220
6,7.040,2:21.080,5,8.660,2:19.760,1,10.150,2:19.200,3,9.750,2:19.560,2,9.450,2:19.490,7,10.580,2:22.030,4,9.520,2:19.740
