MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME
1,15.42,15.42,4,15.60,15.60,2,15.43,15.43,3,15.48,15.48
2,11.28,26.70,4,11.29,26.89,3,11.36,26.79,1,11.03,26.51
1,10.79,37.49,4,10.83,37.72,3,10.88,37.67,2,11.11,37.62
3,10.07,47.56,1,9.59,47.31,2,9.73,47.40,4,10.01,47.63
3,9.60,57.16,1,9.58,56.89,2,9.64,57.04,4,9.64,57.27
3,9.56,1:06.72,1,9.55,1:06.44,2,9.54,1:06.58,4,9.52,1:06.79
4,9.61,1:16.33,1,9.57,1:16.01,2,9.55,1:16.13,3,9.53,1:16.32
4,10.18,1:26.51,1,9.76,1:25.77,2,9.74,1:25.87,3,9.73,1:26.05
4,10.74,1:37.25,1,9.99,1:35.76,2,9.93,1:35.80,3,9.90,1:35.95
