LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME
3,13.76,13.76,6,14.12,14.12,5,14.03,14.03,2,13.60,13.60,1,13.50,13.50,4,13.87,13.87
3,10.01,23.77,6,10.03,24.15,5,10.00,24.03,2,9.97,23.57,1,10.03,23.53,4,10.05,23.92
3,9.31,33.08,6,9.21,33.36,5,9.26,33.29,1,9.25,32.82,2,9.44,32.97,4,9.26,33.18
3,9.23,42.31,6,9.25,42.61,5,9.26,42.55,2,9.32,42.14,1,9.05,42.02,4,9.23,42.41
3,8.80,51.11,6,8.86,51.47,5,8.79,51.34,2,8.92,51.06,1,8.96,50.98,4,8.83,51.24
1,8.59,59.70,6,8.65,1:00.12,5,8.74,1:00.08,2,8.71,59.77,3,8.93,59.91,3,8.67,59.91
1,8.58,1:08.28,6,8.90,1:09.02,5,8.70,1:08.78,2,8.63,1:08.40,3,8.70,1:08.61,4,8.83,1:08.74
1,8.75,1:17.03,6,8.92,1:17.94,5,8.97,1:17.75,2,8.74,1:17.14,3,8.72,1:17.33,4,8.69,1:17.43
1,8.96,1:25.972,6,9.42,1:27.345,5,9.13,1:26.861,4,9.19,1:26.310,2,8.87,1:26.189,3,8.80,1:26.222
