WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Daniela IVANOVA POSITION,Daniela IVANOVA LAP TIME,Daniela IVANOVA ELAPSED TIME
1,13.806,13.806,2,13.888,13.888,4,14.049,14.049,3,14.043,14.043
1,10.615,24.421,2,10.647,24.535,3,10.717,24.766,4,10.746,24.788
1,10.664,35.085,2,10.680,35.215,3,10.597,35.363,4,10.713,35.501
1,10.388,45.473,2,10.258,45.473,3,10.339,45.702,4,10.332,45.833
1,9.729,55.201,2,9.880,55.353,3,9.793,55.494,4,9.786,55.619
2,9.569,1:04.770,1,9.336,1:04.689,3,9.488,1:04.982,4,9.547,1:05.166
2,9.542,1:14.312,1,9.542,1:14.231,3,9.487,1:14.470,4,9.610,1:14.776
1,9.262,1:23.574,2,9.497,1:23.728,3,9.482,1:23.951,4,9.954,1:24.730
1,9.555,1:33.129,2,9.887,1:33.615,3,9.676,1:33.627,4,10.613,1:35.343
