Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
0,10.151,10.151,0,10.209,10.209,0,10.044,10.044,0,10.435,10.435,0,11.351,11.351
0,13.722,23.873,0,13.851,24.060,0,13.878,23.922,0,13.858,24.294,0,13.104,24.454
0,13.180,37.053,0,13.086,37.146,0,13.185,37.107,0,13.227,37.521,0,13.046,37.500
0,13.204,50.257,0,13.264,50.410,0,13.290,50.397,0,13.074,50.595,0,13.350,50.850
0,13.382,1:03.639,0,13.363,1:03.773,0,13.297,1:03.694,0,13.018,1:03.613,0,13.123,1:03.973
0,12.340,1:15.979,0,12.182,1:15.955,0,11.988,1:15.682,0,12.549,1:16.162,0,12.001,1:15.974
0,10.613,1:26.592,0,10.322,1:26.277,0,10.589,1:26.270,0,10.312,1:26.474,0,10.211,1:26.185
0,9.799,1:36.391,0,9.846,1:36.123,0,9.608,1:35.878,0,9.862,1:36.336,0,9.837,1:36.021
0,9.539,1:45.930,0,9.617,1:45.740,0,9.661,1:45.539,0,9.727,1:46.063,0,9.570,1:45.592
0,9.233,1:55.163,0,9.217,1:54.957,0,9.222,1:54.761,0,9.923,1:55.985,0,9.500,1:55.091
0,9.149,2:04.312,0,9.185,2:04.142,0,9.150,2:03.911,0,10.313,2:06.299,0,9.219,2:04.310
0,9.453,2:13.765,0,9.116,2:13.259,0,9.240,2:13.151,0,10.726,2:17.025,0,9.386,2:13.696
0,9.343,2:23.107,0,9.212,2:22.470,0,9.303,2:22.454,0,11.309,2:28.334,0,9.827,2:23.523
0,9.912,2:33.019,0,9.427,2:31.897,0,9.324,2:31.777,0,11.184,2:39.518,0,10.076,2:33.598
