Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
2,6.86,6.86,1,6.76,6.76,3,7.12,7.12,4,7.45,7.45
1,8.98,15.85,2,9.22,15.99,3,8.99,16.11,4,8.92,16.37
1,8.61,24.46,2,8.59,24.58,3,8.58,24.69,4,8.84,25.22
1,9.03,33.49,2,8.92,33.51,4,8.99,33.69,3,8.37,33.59
2,9.38,42.861,1,9.29,42.799,3,9.23,42.914,4,9.38,42.970
