Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Min-Kyung CHOI POSITION,Min-Kyung CHOI LAP TIME,Min-Kyung CHOI ELAPSED TIME,HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,10.013,10.013,5,10.472,10.472,3,10.241,10.241,2,10.122,10.122,4,10.245,10.245
3,13.846,23.859,5,13.765,24.237,4,13.645,23.886,2,13.625,23.746,1,13.474,23.718
3,12.898,36.757,5,12.821,37.057,2,12.750,36.635,4,13.012,36.758,1,12.900,36.618
2,13.297,50.053,5,13.346,50.402,3,13.435,50.070,4,13.385,50.143,1,13.216,49.834
3,12.870,1:02.923,5,12.868,1:03.270,2,12.847,1:02.917,4,12.781,1:02.923,1,12.927,1:02.760
4,11.459,1:14.381,5,11.333,1:14.603,3,11.333,1:14.250,1,11.130,1:14.052,2,11.420,1:14.180
5,14.814,1:29.195,4,10.785,1:25.388,2,10.864,1:25.113,3,11.066,1:25.118,1,10.866,1:25.046
1,6.323,1:35.517,5,10.469,1:35.856,3,10.512,1:35.625,4,10.541,1:35.658,2,10.523,1:35.569
2,10.690,1:46.206,5,10.780,1:46.636,3,10.597,1:46.221,4,10.653,1:46.311,1,10.373,1:45.941
2,10.147,1:56.353,5,10.092,1:56.728,3,10.248,1:56.469,4,10.203,1:56.514,1,10.217,1:56.158
2,10.170,2:06.522,5,10.183,2:06.910,4,10.212,2:06.680,3,10.084,2:06.597,1,10.180,2:06.337
2,9.954,2:16.476,3,9.605,2:16.514,5,10.330,2:17.010,4,10.362,2:16.958,1,10.064,2:16.400
3,10.338,2:26.813,1,9.616,2:26.130,5,10.514,2:27.524,4,10.491,2:27.449,2,10.269,2:26.669
3,10.44,2:37.248,1,10.53,2:36.654,4,10.52,2:38.043,5,10.70,2:38.146,2,10.48,2:37.142
