KIM Min-Jee POSITION,KIM Min-Jee LAP TIME,KIM Min-Jee ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Min-Kyung CHOI POSITION,Min-Kyung CHOI LAP TIME,Min-Kyung CHOI ELAPSED TIME
4,15.608,15.608,3,15.502,15.502,1,14.971,14.971,2,15.232,15.232
3,11.389,26.997,4,11.558,27.060,2,11.704,26.674,1,11.408,26.640
4,10.122,37.118,3,10.013,37.072,2,10.165,36.839,1,10.175,36.814
4,9.877,46.995,3,9.671,46.743,2,9.857,46.695,1,9.790,46.604
3,9.433,56.428,1,9.460,56.203,4,9.870,56.565,2,9.651,56.254
3,9.653,1:06.080,2,9.791,1:05.994,4,9.691,1:06.255,1,9.644,1:05.898
2,9.609,1:15.689,1,9.557,1:15.551,4,9.734,1:15.988,3,9.861,1:15.758
2,9.793,1:25.481,1,9.826,1:25.376,4,9.941,1:25.928,3,10.021,1:25.779
2,9.98,1:35.460,1,9.87,1:35.242,4,10.56,1:36.485,3,10.53,1:36.303
