BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,6.98,6.98,1,6.92,6.92,3,7.06,7.06,4,7.21,7.21
2,8.99,15.97,1,8.90,15.82,4,9.03,16.09,3,8.81,16.02
3,8.51,24.48,1,8.57,24.39,4,8.68,24.77,2,8.45,24.47
2,8.63,33.11,4,30.79,55.18,3,8.60,33.37,1,8.46,32.93
3,8.91,42.018,4,0.17,55.342,2,8.59,41.951,1,8.74,41.662
