HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
1,9.20,9.20,2,9.28,9.28,3,9.46,9.46,4,9.60,9.60,5,9.72,9.72,6,9.94,9.94
2,11.75,20.95,3,11.77,21.05,4,11.72,21.18,1,11.26,20.86,5,11.63,21.35,6,11.61,21.55
2,10.11,31.06,3,10.03,31.08,5,10.00,31.18,1,10.05,30.91,4,9.74,31.09,6,9.81,31.36
1,10.43,41.49,4,10.58,41.66,5,10.58,41.76,3,10.61,41.52,2,10.42,41.51,6,10.55,41.91
1,10.06,51.55,3,10.07,51.73,5,10.14,51.90,4,10.26,51.78,2,10.13,51.64,6,10.16,52.07
1,10.35,1:01.90,3,10.36,1:02.09,5,10.39,1:02.29,4,10.42,1:02.20,2,10.38,1:02.02,6,10.37,1:02.44
1,10.33,1:12.23,3,10.35,1:12.44,5,10.37,1:12.66,4,10.33,1:12.53,2,10.35,1:12.37,6,10.38,1:12.82
1,10.27,1:22.50,3,10.22,1:22.66,5,10.24,1:22.90,4,10.24,1:22.77,2,10.14,1:22.51,6,10.23,1:23.05
2,9.58,1:32.08,3,9.53,1:32.19,5,9.51,1:32.41,4,9.53,1:32.30,1,9.56,1:32.07,6,9.61,1:32.66
1,9.77,1:41.85,3,9.82,1:42.01,5,9.81,1:42.22,4,9.82,1:42.12,2,9.87,1:41.94,6,9.77,1:42.43
1,9.51,1:51.36,3,9.54,1:51.55,5,9.55,1:51.77,4,9.48,1:51.60,2,9.53,1:51.47,6,9.62,1:52.05
1,9.43,2:00.79,3,9.41,2:00.96,5,9.41,2:01.18,4,9.45,2:01.05,2,9.40,2:00.87,6,9.64,2:01.69
1,9.43,2:10.22,3,9.37,2:10.33,5,9.43,2:10.61,4,9.39,2:10.44,2,9.43,2:10.30,6,10.11,2:11.80
2,9.54,2:19.753,4,9.61,2:19.935,5,9.58,2:20.185,1,9.30,2:19.737,3,9.55,2:19.846,6,10.48,2:22.277
