Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
1,12.76,12.76,4,12.95,12.95,3,12.88,12.88,2,12.77,12.77
2,10.14,22.90,4,10.19,23.14,3,10.16,23.04,1,10.12,22.89
2,9.98,32.88,4,9.97,33.11,3,9.98,33.02,1,9.96,32.85
2,9.75,42.63,3,9.59,42.70,4,9.76,42.78,1,9.75,42.60
1,9.63,52.26,2,9.63,52.33,3,9.65,52.43,4,9.98,52.58
2,9.62,1:01.88,1,9.49,1:01.82,3,9.59,1:02.02,4,9.59,1:02.17
2,8.97,1:10.85,1,8.96,1:10.78,3,8.87,1:10.89,4,8.98,1:11.15
3,9.73,1:20.58,1,9.04,1:19.82,2,9.05,1:19.94,4,9.47,1:20.62
0,,PEN,1,9.17,1:28.988,2,9.28,1:29.218,3,9.85,1:30.467
