ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
3,10.57,10.57,4,10.71,10.71,2,10.56,10.56,5,10.85,,6,10.95,10.95,1,10.42,10.42,7,11.10,11.10
3,15.68,26.25,5,15.70,26.41,4,15.71,26.27,6,15.60,,7,15.56,26.51,1,15.73,26.15,2,15.14,26.24
5,13.64,39.89,4,13.32,39.73,7,14.00,40.27,2,13.18,,1,13.04,39.55,6,13.99,40.14,3,13.43,39.67
4,12.27,52.16,6,12.70,52.43,7,12.26,52.53,1,12.32,,2,12.47,52.02,2,11.88,52.02,5,12.62,52.29
4,11.09,1:03.25,6,11.08,1:03.51,7,11.08,1:03.61,2,11.07,,3,11.11,1:03.13,1,10.90,1:02.92,5,11.08,1:03.37
2,10.36,1:13.61,6,10.63,1:14.14,7,10.62,1:14.23,3,10.75,,4,10.75,1:13.88,1,10.67,1:13.59,5,10.62,1:13.99
1,10.17,1:23.78,6,10.12,1:24.26,7,10.11,1:24.34,4,10.21,,3,10.07,1:23.95,2,10.32,1:23.91,5,10.13,1:24.12
2,9.90,1:33.68,6,9.86,1:34.12,7,9.89,1:34.23,5,9.97,,1,9.61,1:33.56,3,9.88,1:33.79,4,9.79,1:33.91
1,9.43,1:43.11,6,9.42,1:43.54,7,9.43,1:43.66,5,9.56,,2,9.65,1:43.21,3,9.52,1:43.31,4,9.51,1:43.42
2,9.60,1:52.71,3,9.24,1:52.78,5,9.26,1:52.92,7,9.51,,1,9.47,1:52.68,4,9.53,1:52.84,6,9.52,1:52.94
2,9.28,2:01.99,4,9.39,2:02.17,3,9.15,2:02.07,7,9.51,,1,9.22,2:01.90,5,9.45,2:02.29,6,9.49,2:02.43
2,9.41,2:11.40,3,9.33,2:11.50,4,9.63,2:11.70,7,9.38,,1,9.35,2:11.25,5,9.45,2:11.74,6,9.44,2:11.87
2,9.34,2:20.74,3,9.28,2:20.78,4,9.46,2:21.16,6,9.46,,1,9.36,2:20.61,5,9.56,2:21.30,7,10.42,2:22.29
2,9.44,2:30.185,3,9.58,2:30.365,4,9.58,2:30.741,6,9.63,,1,9.33,2:29.941,5,9.51,2:30.813,6,10.73,2:33.020
