Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,12.480,12.480,2,12.730,12.730,3,12.790,12.790,4,12.890,12.890
1,9.520,22.000,4,9.600,22.330,3,9.380,22.180,2,9.240,22.130
1,9.510,31.520,3,9.510,31.840,2,9.620,31.800,4,9.870,32.000
1,9.610,41.130,2,9.520,41.360,3,9.640,41.450,4,9.450,41.460
1,9.660,50.790,2,9.640,51.000,4,9.620,51.080,3,9.610,51.080
3,9.350,1:00.150,2,9.020,1:00.030,4,9.070,1:00.150,1,8.830,59.910
3,9.210,1:09.360,1,9.220,1:09.250,2,9.110,1:09.270,4,9.740,1:09.650
1,9.100,1:18.470,2,9.230,1:18.490,3,9.240,1:18.520,4,9.510,1:19.160
2,9.450,1:27.920,1,9.150,1:27.640,3,9.520,1:28.040,4,10.200,1:29.370
