Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,10.29,24.05,2,10.33,24.08,3,10.21,24.11,4,10.19,24.31
1,9.69,33.75,2,9.68,33.77,3,9.79,33.91,4,9.61,33.93
2,9.54,43.29,1,9.51,43.28,4,9.60,43.51,3,9.41,43.35
1,9.45,52.74,2,9.46,52.74,4,9.50,53.02,3,9.55,52.91
2,9.41,1:02.15,1,9.39,1:02.14,4,9.36,1:02.38,3,9.37,1:02.29
2,9.31,1:11.46,1,9.29,1:11.43,4,9.45,1:11.83,3,9.34,1:11.63
2,9.48,1:20.95,1,9.44,1:20.87,3,9.33,1:21.17,4,9.53,1:21.17
1,9.75,1:30.698,2,10.06,1:30.925,4,10.03,1:31.191,3,9.84,1:31.008
