Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
2,12.50,12.50,3,12.62,12.62,4,12.75,12.75,1,12.34,12.34
1,9.45,21.95,2,9.36,21.98,4,9.54,22.29,3,9.83,22.17
1,9.49,31.44,2,9.55,31.53,4,9.48,31.77,3,9.47,31.64
1,9.47,40.91,3,9.47,41.00,4,9.40,41.17,2,9.33,40.97
2,9.04,49.95,3,9.00,50.00,4,8.94,50.11,1,8.83,49.80
4,9.23,59.18,2,8.96,58.96,3,8.96,59.07,1,9.12,58.92
4,8.96,1:08.14,1,8.86,1:07.82,2,8.99,1:08.06,3,9.19,1:08.11
3,8.80,1:16.94,1,8.90,1:16.72,2,8.68,1:16.74,4,9.01,1:17.12
2,8.91,1:25.840,3,9.16,1:25.868,1,9.05,1:25.772,4,9.56,1:26.657
