Vitali BAZYLENKO POSITION,Vitali BAZYLENKO LAP TIME,Vitali BAZYLENKO ELAPSED TIME,LIN Chueh POSITION,LIN Chueh LAP TIME,LIN Chueh ELAPSED TIME,Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
0,8.666,8.666,0,8.629,8.629,0,8.492,8.492,0,,,0,8.812,8.812,0,8.165,8.165
0,12.103,20.769,0,12.337,20.966,0,12.323,20.816,0,,,0,11.924,20.736,0,12.441,20.605
0,11.136,31.904,0,10.935,31.901,0,11.091,31.907,0,,,0,10.938,31.674,0,11.219,31.825
0,11.617,43.521,0,11.803,43.704,0,11.517,43.424,0,,,0,11.452,43.126,0,11.485,43.309
0,11.434,54.954,0,11.503,55.207,0,11.543,54.967,0,,,0,11.709,54.835,0,11.721,55.030
0,11.601,1:06.555,0,11.514,1:06.721,0,11.537,1:06.504,0,,,0,11.313,1:06.148,0,11.588,1:06.618
0,11.750,1:18.305,0,10.955,1:17.676,0,11.055,1:17.559,0,,,0,11.061,1:17.209,0,10.861,1:17.479
0,10.080,1:28.385,0,11.013,1:28.689,0,10.896,1:28.454,0,,,0,10.927,1:28.136,0,10.869,1:28.348
0,10.493,1:38.878,0,10.472,1:39.161,0,10.447,1:38.901,0,,,0,10.443,1:38.580,0,10.397,1:38.744
0,10.304,1:49.183,0,10.444,1:49.604,0,10.217,1:49.118,0,,,0,10.222,1:48.801,0,10.257,1:49.001
0,9.856,1:59.039,0,10.896,2:00.501,0,9.866,1:58.984,0,,,0,9.911,1:58.713,0,9.772,1:58.773
0,9.791,2:08.830,0,11.262,2:11.762,0,9.805,2:08.789,0,,,0,9.826,2:08.539,0,10.038,2:08.810
0,9.727,2:18.557,0,12.047,2:23.809,0,9.718,2:18.507,0,,,0,9.638,2:18.177,0,9.976,2:18.786
0,,,0,,,0,,,0,,,0,,,0,,
