Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME
2,7.61,7.61,1,7.43,7.43,3,7.83,7.83,4,8.09,8.09
2,9.61,17.22,1,9.68,17.11,3,9.93,17.76,4,10.14,18.23
2,9.20,26.42,1,9.22,26.33,3,9.70,27.46,4,10.22,28.45
1,9.22,35.64,2,9.41,35.74,3,9.93,37.39,4,26.56,55.01
1,9.52,45.155,2,9.62,45.357,3,10.21,47.594,0,,notime
