Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME
3,10.29,10.29,6,10.44,10.44,7,10.46,10.46,2,10.24,10.24,1,10.19,10.19,5,10.32,10.32,3,10.29,10.29
6,14.07,24.36,7,14.00,24.44,5,13.77,24.23,2,13.66,23.90,1,13.55,23.74,3,13.68,24.00,4,13.82,24.11
4,12.61,36.97,7,12.89,37.33,6,12.99,37.22,2,12.80,36.70,1,12.80,36.54,3,12.82,36.82,5,12.99,37.10
2,12.18,49.15,7,12.25,49.58,6,12.21,49.43,3,12.52,49.22,1,12.52,49.06,4,12.45,49.27,5,12.28,49.38
1,10.84,59.99,4,10.58,1:00.16,2,10.57,1:00.00,5,10.98,1:00.20,3,11.02,1:00.08,6,11.01,1:00.28,7,11.00,1:00.38
3,10.40,1:10.39,1,9.87,1:10.03,2,10.27,1:10.27,5,10.41,1:10.61,4,10.41,1:10.49,6,10.43,1:10.71,7,10.47,1:10.85
4,10.27,1:20.66,1,10.47,1:20.50,2,10.33,1:20.60,5,10.21,1:20.82,3,10.12,1:20.61,6,10.20,1:20.91,7,10.19,1:21.04
2,10.05,1:30.71,4,10.39,1:30.89,5,10.36,1:30.96,3,10.02,1:30.84,1,9.97,1:30.58,6,10.10,1:31.01,7,10.09,1:31.13
2,9.88,1:40.59,7,10.36,1:41.25,6,10.18,1:41.14,3,9.89,1:40.73,1,9.90,1:40.48,4,9.81,1:40.82,5,9.79,1:40.92
2,9.83,1:50.42,7,10.04,1:51.29,6,10.09,1:51.23,3,9.79,1:50.52,1,9.83,1:50.31,4,9.80,1:50.62,5,9.87,1:50.79
3,9.62,2:00.04,6,10.34,2:01.63,7,10.56,2:01.79,2,9.40,1:59.92,1,9.50,1:59.81,4,9.58,2:00.20,5,9.57,2:00.36
3,9.80,2:09.84,6,10.73,2:12.36,7,11.31,2:13.10,2,9.45,2:09.37,1,9.46,2:09.27,4,9.70,2:09.90,5,9.70,2:10.06
3,10.22,2:20.06,6,11.12,2:23.48,7,11.88,2:24.98,2,9.62,2:18.99,1,9.61,2:18.88,5,10.21,2:20.11,4,10.01,2:20.07
4,10.49,2:30.555,6,11.67,2:35.153,7,12.37,2:37.354,2,9.79,2:28.78,1,9.82,2:28.70,5,11.31,2:31.424,3,9.85,2:29.92
