Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Aliaksandr VOLKAU POSITION,Aliaksandr VOLKAU LAP TIME,Aliaksandr VOLKAU ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
3,10.62,10.62,6,10.88,10.88,4,10.75,10.75,1,10.42,10.42,2,10.51,10.51,5,10.85,10.85
3,12.44,23.06,1,12.03,22.91,4,12.49,23.24,6,23.09,33.51,2,12.44,22.95,5,12.57,23.42
3,11.95,35.01,2,12.04,34.95,5,11.91,35.15,6,14.87,48.38,4,12.07,35.02,1,11.49,34.91
4,11.18,46.19,1,11.15,46.10,5,11.23,46.38,6,11.27,59.65,3,11.15,46.17,2,11.20,46.11
4,10.76,56.95,3,10.78,56.88,5,10.68,57.06,6,10.61,1:10.26,1,10.51,56.68,2,10.68,56.79
4,10.42,1:07.37,3,10.40,1:07.28,5,10.45,1:07.51,6,10.51,1:20.77,1,10.45,1:07.13,2,10.42,1:07.21
4,10.34,1:17.71,2,10.30,1:17.58,5,10.34,1:17.85,6,10.42,1:31.19,3,10.47,1:17.60,1,10.32,1:17.53
4,10.58,1:28.29,2,10.58,1:28.16,5,10.49,1:28.34,6,10.97,1:42.16,3,10.63,1:28.23,1,10.53,1:28.06
2,10.24,1:38.53,3,10.42,1:38.58,5,10.50,1:38.84,6,11.16,1:53.32,4,10.50,1:38.73,1,10.39,1:38.45
2,9.94,1:48.47,3,10.02,1:48.60,5,9.98,1:48.82,6,11.18,2:04.50,4,9.98,1:48.71,1,9.94,1:48.39
2,9.73,1:58.20,3,9.67,1:58.27,5,9.63,1:58.45,6,11.90,2:16.40,4,9.66,1:58.37,1,9.67,1:58.06
2,9.63,2:07.83,3,9.73,2:08.00,4,9.57,2:08.02,6,12.39,2:28.79,5,9.84,2:08.21,1,9.41,2:07.47
3,9.41,2:17.24,5,9.76,2:17.76,2,8.99,2:17.01,6,12.03,2:40.82,4,9.28,2:17.49,1,9.43,2:16.90
1,9.58,2:26.812,4,10.63,2:28.381,0,,PEN,0,,notime,2,9.44,2:26.928,3,10.58,2:27.477
