HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
1,8.97,8.97,2,9.07,9.07,3,9.20,9.20,5,9.43,9.43,4,9.36,9.36
1,13.01,21.98,3,13.00,22.07,2,12.84,22.04,5,13.01,22.44,4,12.93,22.29
2,10.47,32.45,3,10.51,32.58,1,10.33,32.37,5,10.35,32.79,4,10.41,32.70
2,10.40,42.85,3,10.39,42.97,1,10.39,42.76,5,10.36,43.15,4,10.35,43.05
3,9.85,52.70,1,9.53,52.50,2,9.86,52.62,5,9.88,53.03,4,9.80,52.85
4,9.51,1:02.21,3,9.66,1:02.16,2,9.47,1:02.09,5,9.48,1:02.51,1,9.17,1:02.02
4,9.46,1:11.67,3,9.46,1:11.62,2,9.41,1:11.50,5,9.32,1:11.83,1,9.40,1:11.42
4,9.42,1:21.09,3,9.42,1:21.04,2,9.43,1:20.93,5,9.51,1:21.34,1,9.42,1:20.84
1,8.93,1:30.02,4,9.21,1:30.25,3,9.19,1:30.12,5,9.44,1:30.78,2,9.19,1:30.03
1,9.18,1:39.20,4,9.22,1:39.47,3,9.24,1:39.36,5,10.24,1:41.02,2,9.25,1:39.28
1,9.34,1:48.54,4,9.34,1:48.81,3,9.34,1:48.70,5,10.86,1:51.88,2,9.34,1:48.62
1,9.47,1:58.01,3,9.36,1:58.17,4,9.50,1:58.20,5,11.19,2:03.07,2,9.49,1:58.11
2,9.66,2:07.67,3,9.62,2:07.79,4,10.05,2:08.25,5,11.77,2:14.84,1,9.53,2:07.64
2,9.67,2:17.335,0,,DQ,3,9.68,2:17.926,4,11.91,2:26.749,1,9.47,2:17.104
