AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,MAI Chia-Hung POSITION,MAI Chia-Hung LAP TIME,MAI Chia-Hung ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME
3,7.549,7.549,2,7.381,7.381,4,7.999,7.999,1,7.074,7.074
3,9.555,17.104,2,9.424,16.804,4,10.695,18.693,1,9.226,16.300
3,8.882,25.986,2,9.052,25.856,4,10.856,29.548,1,9.326,25.626
1,8.985,34.970,3,9.431,35.286,4,10.693,40.241,2,9.377,35.002
1,9.55,44.517,3,9.43,44.712,4,10.84,51.081,2,9.64,44.641
