PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
4,11.07,11.07,2,10.94,10.94,5,11.08,11.08,3,10.96,10.96,1,10.83,10.83
4,15.38,26.45,1,15.26,26.20,5,15.49,26.57,2,15.28,26.24,3,15.50,26.33
5,12.79,39.24,2,12.80,39.00,2,12.43,39.00,1,12.75,38.99,4,12.72,39.05
5,11.28,50.52,2,11.22,50.22,1,11.07,50.07,4,11.42,50.41,3,11.27,50.32
5,11.54,1:02.06,2,11.55,1:01.77,1,11.60,1:01.67,4,11.56,1:01.97,3,11.57,1:01.89
5,11.78,1:13.84,2,11.79,1:13.56,1,11.73,1:13.40,4,11.77,1:13.74,3,11.76,1:13.65
5,11.80,1:25.64,2,11.78,1:25.34,1,11.88,1:25.28,4,11.79,1:25.53,3,11.71,1:25.36
5,10.98,1:36.62,2,10.88,1:36.22,1,10.88,1:36.16,4,10.84,1:36.37,3,10.96,1:36.32
5,9.81,1:46.43,1,9.74,1:45.96,2,9.89,1:46.05,4,9.84,1:46.21,3,9.80,1:46.12
5,9.71,1:56.14,1,9.76,1:55.72,2,9.77,1:55.82,4,9.73,1:55.94,3,9.78,1:55.90
5,9.94,2:06.08,1,9.66,2:05.38,2,9.73,2:05.55,4,9.79,2:05.73,3,9.76,2:05.66
5,10.27,2:16.35,1,9.52,2:14.90,3,9.83,2:15.38,4,9.73,2:15.46,2,9.55,2:15.21
5,10.74,2:27.09,1,9.73,2:24.63,3,10.11,2:25.49,4,10.12,2:25.58,2,9.94,2:25.15
5,11.33,2:38.42,1,10.11,2:34.74,3,10.52,2:36.01,4,10.60,2:36.18,2,10.27,2:35.42
