Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
1,6.64,6.64,2,6.64,6.64,5,7.18,7.18,3,6.95,6.95,4,7.05,7.05
2,8.89,15.53,1,8.60,15.25,5,8.92,16.10,3,8.88,15.84,4,8.97,16.02
2,8.38,23.91,1,8.40,23.65,4,8.24,24.34,3,8.32,24.16,5,8.34,24.36
2,8.44,32.36,1,8.60,32.26,3,8.20,32.55,4,8.60,32.76,5,8.43,32.79
1,8.71,41.065,2,8.89,41.147,3,8.64,41.188,4,8.66,41.418,5,8.89,41.679
