Tomas GIACOMELLI POSITION,Tomas GIACOMELLI LAP TIME,Tomas GIACOMELLI ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,WANG Yang-Chun POSITION,WANG Yang-Chun LAP TIME,WANG Yang-Chun ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME
3,14.72,14.72,4,14.89,14.89,1,14.12,14.12,2,14.66,14.66,5,15.35,15.35
3,10.09,24.81,4,10.07,24.96,1,9.98,24.10,2,10.05,24.71,5,11.90,27.25
3,9.58,34.39,4,9.62,34.58,1,9.83,33.93,2,9.56,34.27,5,12.30,39.55
3,9.61,44.00,4,9.48,44.06,1,9.84,43.77,2,9.61,43.88,5,13.06,52.61
3,9.82,53.82,4,9.90,53.96,2,10.00,53.77,1,9.79,53.67,5,13.65,1:06.26
2,9.72,1:03.54,3,9.71,1:03.67,4,10.20,1:03.97,1,9.55,1:03.22,5,12.83,1:19.09
2,9.49,1:13.03,3,9.58,1:13.25,4,10.43,1:14.40,1,9.60,1:12.82,5,13.35,1:32.44
2,9.49,1:22.52,3,9.73,1:22.98,4,10.78,1:25.18,1,9.43,1:22.25,5,12.75,1:45.19
2,9.71,1:32.227,3,10.07,1:33.048,4,11.12,1:36.300,1,9.46,1:31.710,5,14.04,1:59.225
