Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME
1,12.18,,5,12.74,12.74,4,12.56,12.56,3,12.41,12.41,2,12.27,12.27
1,9.19,,5,9.04,21.78,4,9.11,21.67,3,9.15,21.56,2,9.20,21.47
1,9.28,,5,9.28,31.06,4,9.28,30.95,3,9.28,30.84,2,9.27,30.74
1,9.29,,5,9.27,40.33,4,9.25,40.20,3,9.19,40.03,2,9.27,40.01
2,9.04,,5,9.01,49.34,4,8.96,49.16,1,8.84,48.87,3,9.11,49.12
2,8.93,,5,9.06,58.40,4,8.95,58.11,1,8.93,57.80,3,8.90,58.02
2,9.03,,5,9.22,1:07.62,3,8.92,1:07.03,1,8.99,1:06.79,4,9.11,1:07.13
3,9.29,,5,9.58,1:17.20,2,8.99,1:16.02,1,9.14,1:15.93,4,9.19,1:16.32
4,34.06,,3,9.98,1:27.187,2,9.24,1:25.26,1,9.24,1:25.17,5,42.51,1:58.83
