CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME
4,13.36,13.36,1,13.03,13.03,2,13.13,13.13,3,13.23,13.23
4,10.28,23.64,1,10.23,23.26,2,10.23,23.36,3,10.27,23.50
4,10.16,33.80,1,10.26,33.52,2,10.22,33.58,3,10.17,33.67
3,9.91,43.71,1,9.96,43.48,2,10.00,43.58,4,10.16,43.83
3,9.96,53.67,1,9.80,53.28,2,9.88,53.46,4,9.95,53.78
3,9.56,1:03.23,1,9.69,1:02.97,2,9.59,1:03.05,4,9.55,1:03.33
3,9.66,1:12.89,1,9.57,1:12.54,2,9.59,1:12.64,4,9.64,1:12.97
2,9.50,1:22.39,1,9.78,1:22.32,3,9.76,1:22.40,4,9.62,1:22.59
1,9.64,1:32.022,2,9.90,1:32.211,4,10.28,1:32.676,3,9.73,1:32.312
