Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME
1,13.51,13.51,4,13.73,13.73,2,13.61,13.61,3,13.73,13.73
1,10.29,23.80,4,10.29,24.02,2,10.30,23.91,3,10.18,23.91
1,10.39,34.19,3,10.36,34.38,4,10.64,34.55,2,10.35,34.26
1,10.36,44.55,2,10.39,44.77,3,10.32,44.87,4,10.68,44.94
1,10.09,54.64,3,10.06,54.83,2,9.87,54.74,4,10.00,54.94
1,10.36,1:05.00,3,10.40,1:05.23,2,10.39,1:05.13,4,10.37,1:05.31
1,10.13,1:15.13,3,10.10,1:15.33,2,10.08,1:15.21,4,10.18,1:15.49
1,10.32,1:25.45,3,10.36,1:25.69,2,10.36,1:25.57,4,10.90,1:26.39
1,10.51,1:35.960,0,,PEN,2,10.46,1:36.021,3,11.17,1:37.555
