SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
2,9.09,9.09,3,9.22,9.22,1,8.94,8.94,4,9.40,9.40,5,9.57,9.57
2,13.75,22.84,3,13.73,22.95,1,13.75,22.69,4,13.70,23.10,5,13.69,23.26
2,12.60,35.44,3,12.59,35.54,1,12.64,35.33,4,12.58,35.68,5,12.54,35.80
2,12.50,47.94,3,12.54,48.08,1,12.47,47.80,4,12.52,48.20,5,12.55,48.35
3,11.75,59.69,2,11.49,59.57,1,11.77,59.57,4,11.69,59.89,5,11.66,1:00.01
3,10.37,1:10.06,2,10.46,1:10.03,1,10.46,1:10.03,4,10.36,1:10.25,5,10.49,1:10.50
1,9.83,1:19.89,3,10.07,1:20.10,2,9.97,1:20.00,4,9.98,1:20.23,5,9.84,1:20.34
2,9.91,1:29.80,1,9.65,1:29.75,4,9.97,1:29.97,3,9.59,1:29.82,5,9.85,1:30.19
2,9.11,1:38.91,3,9.26,1:39.01,4,9.18,1:39.15,1,8.98,1:38.80,5,9.19,1:39.38
2,9.36,1:48.27,3,9.33,1:48.34,4,9.31,1:48.46,1,9.35,1:48.15,5,9.37,1:48.75
2,9.13,1:57.40,4,9.19,1:57.53,3,9.04,1:57.50,1,9.16,1:57.31,5,9.27,1:58.02
2,9.26,2:06.66,4,9.58,2:07.11,3,9.30,2:06.80,1,9.26,2:06.57,5,9.78,2:07.80
2,9.19,2:15.85,4,9.85,2:16.96,3,9.19,2:15.99,1,9.18,2:15.75,5,9.94,2:17.74
2,9.71,2:25.553,4,10.46,2:27.416,3,9.90,2:25.891,1,9.66,2:25.410,5,10.45,2:28.181
