CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Satomi SAKAI POSITION,Satomi SAKAI LAP TIME,Satomi SAKAI ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,LIU Ling-E POSITION,LIU Ling-E LAP TIME,LIU Ling-E ELAPSED TIME,Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME,Elizaveta IVLJEVA POSITION,Elizaveta IVLJEVA LAP TIME,Elizaveta IVLJEVA ELAPSED TIME
6,9.824,9.824,4,9.430,9.430,5,9.542,9.542,3,8.999,8.999,2,8.863,8.863,1,8.821,8.821
6,13.157,22.981,4,13.393,22.822,5,13.281,22.823,3,13.413,22.412,1,13.408,22.270,2,13.563,22.384
5,14.111,37.092,4,14.037,36.859,6,14.283,37.106,3,14.237,36.649,1,14.151,36.420,2,14.089,36.472
6,14.315,51.406,4,14.176,51.035,5,14.062,51.167,3,14.181,50.829,1,14.217,50.637,2,14.184,50.655
6,14.285,1:05.691,4,14.412,1:05.446,5,14.396,1:05.563,3,14.356,1:05.185,1,14.221,1:04.857,2,14.286,1:04.940
6,13.592,1:19.283,3,13.236,1:18.682,5,13.334,1:18.896,4,13.620,1:18.804,1,13.628,1:18.485,2,13.597,1:18.537
5,10.402,1:29.685,2,10.608,1:29.290,4,10.640,1:29.536,6,10.926,1:29.730,1,10.444,1:28.929,3,10.782,1:29.319
6,10.715,1:40.399,3,10.785,1:40.074,4,10.690,1:40.225,5,10.584,1:40.313,1,10.856,1:39.784,2,10.749,1:40.067
5,10.679,1:51.077,2,10.526,1:50.600,4,10.745,1:50.969,6,10.846,1:51.159,1,10.742,1:50.526,3,10.723,1:50.790
4,9.837,2:00.914,1,9.987,2:00.586,6,10.854,2:01.823,5,10.629,2:01.787,2,10.103,2:00.628,3,9.962,2:00.752
4,10.092,2:11.006,1,10.025,2:10.611,6,11.109,2:12.931,5,10.282,2:12.069,2,10.107,2:10.735,3,10.084,2:10.836
3,10.034,2:21.039,4,10.579,2:21.190,6,11.516,2:24.447,5,10.395,2:22.463,2,10.216,2:20.950,1,10.107,2:20.942
1,9.599,2:30.637,3,10.217,2:31.406,6,12.465,2:36.911,5,10.600,2:33.063,2,9.877,2:30.827,4,10.671,2:31.612
1,10.17,2:40.800,3,10.59,2:41.988,6,13.13,2:50.037,5,10.85,2:43.907,2,10.34,2:41.163,4,10.54,2:42.143
