April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,Rumiana DIMITROVA POSITION,Rumiana DIMITROVA LAP TIME,Rumiana DIMITROVA ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Elif OZDEN POSITION,Elif OZDEN LAP TIME,Elif OZDEN ELAPSED TIME
2,9.81,9.81,1,9.63,9.63,3,9.87,9.87,5,10.29,10.29,4,9.93,9.93
4,13.35,23.16,2,13.38,23.01,1,13.07,22.94,5,13.16,23.45,3,13.23,23.16
3,11.68,34.84,2,11.61,34.62,1,11.62,34.56,5,11.89,35.34,4,11.69,34.85
4,12.29,47.13,1,12.17,46.79,2,12.33,46.89,5,12.56,47.90,3,12.08,46.93
2,11.97,59.10,3,12.38,59.17,1,12.13,59.02,5,11.73,59.63,4,12.35,59.28
4,12.45,1:11.55,1,11.58,1:10.75,2,12.10,1:11.12,5,12.42,1:12.05,3,12.13,1:11.41
3,10.32,1:21.87,1,10.92,1:21.67,2,10.58,1:21.70,4,10.41,1:22.46,5,11.36,1:22.77
3,10.20,1:32.07,2,10.34,1:32.01,1,10.25,1:31.95,4,10.02,1:32.48,5,11.65,1:34.42
3,10.41,1:42.48,2,10.47,1:42.48,1,10.46,1:42.41,4,10.19,1:42.67,5,11.65,1:46.07
2,10.37,1:52.85,4,10.80,1:53.28,1,10.39,1:52.80,3,10.49,1:53.16,5,12.07,1:58.14
2,10.31,2:03.16,4,11.64,2:04.92,1,10.24,2:03.04,3,10.15,2:03.31,5,12.95,2:11.09
1,9.94,2:13.10,4,12.43,2:17.35,2,10.09,2:13.13,3,10.29,2:13.60,5,13.98,2:25.07
2,10.46,2:23.56,4,13.08,2:30.43,1,10.26,2:23.39,3,10.37,2:23.97,5,13.86,2:38.93
3,10.43,2:33.986,4,13.62,2:44.043,2,10.49,2:33.872,1,9.74,2:33.706,5,14.32,2:53.250
