BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,YU Miaohui POSITION,YU Miaohui LAP TIME,YU Miaohui ELAPSED TIME
7,12.06,12.06,6,11.92,11.92,5,11.69,11.69,3,11.26,11.26,4,11.51,11.51,2,11.10,11.10,1,10.92,10.92
7,14.63,26.69,6,14.58,26.50,5,14.72,26.41,3,14.78,26.04,4,14.76,26.27,2,14.80,25.90,1,14.79,25.71
7,13.28,39.97,6,13.27,39.77,4,13.19,39.60,3,13.36,39.40,5,13.34,39.61,2,13.35,39.25,1,13.38,39.09
7,12.53,52.50,6,12.63,52.40,4,12.51,52.11,3,12.56,51.96,5,12.65,52.26,2,12.59,51.84,1,12.61,51.70
7,12.03,1:04.53,5,11.91,1:04.31,4,12.08,1:04.19,3,12.22,1:04.18,6,12.12,1:04.38,2,12.19,1:04.03,1,12.20,1:03.90
7,10.36,1:14.89,1,9.74,1:14.05,2,9.96,1:14.15,4,10.40,1:14.58,6,10.42,1:14.80,5,10.66,1:14.69,3,10.43,1:14.33
7,9.84,1:24.73,1,9.96,1:24.01,3,10.01,1:24.16,4,9.76,1:24.34,6,9.81,1:24.61,5,9.78,1:24.47,2,9.80,1:24.13
7,9.89,1:34.62,3,10.09,1:34.10,2,9.82,1:33.98,4,9.90,1:34.24,6,9.88,1:34.49,5,9.88,1:34.35,1,9.73,1:33.86
7,9.86,1:44.48,3,9.66,1:43.76,2,9.70,1:43.68,4,9.68,1:43.92,6,9.67,1:44.16,5,9.69,1:44.04,1,9.72,1:43.58
7,10.11,1:54.59,3,9.76,1:53.52,2,9.74,1:53.42,4,9.68,1:53.60,6,9.60,1:53.76,5,9.70,1:53.74,1,9.73,1:53.31
7,10.91,2:05.50,4,9.78,2:03.30,2,9.80,2:03.22,3,9.63,2:03.23,5,9.66,2:03.42,6,9.80,2:03.54,1,9.76,2:03.07
7,11.59,2:17.09,4,9.85,2:13.15,3,9.91,2:13.13,1,9.62,2:12.85,5,9.83,2:13.25,6,9.91,2:13.45,2,10.04,2:13.11
7,12.14,2:29.23,2,9.63,2:22.78,6,10.61,2:23.74,1,9.65,2:22.50,4,10.08,2:23.33,5,10.04,2:23.49,3,10.17,2:23.28
7,12.72,2:41.95,0,,PHOTO,6,10.63,2:34.37,0,,PHOTO,3,9.90,2:33.23,4,9.81,2:33.30,5,10.49,2:33.77
