KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
4,10.14,10.14,1,6.83,6.83,3,7.19,7.19,2,6.98,6.98
2,5.71,15.85,1,8.93,15.76,4,9.40,16.60,3,9.27,16.25
1,8.47,24.32,2,8.66,24.42,4,8.78,25.38,3,8.50,24.76
1,8.62,32.94,2,8.71,33.13,4,9.17,34.56,3,8.65,33.42
1,8.94,41.871,2,8.87,41.993,4,9.61,44.166,3,9.33,42.744
