Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
4,9.86,9.86,2,9.73,9.73,6,10.13,10.13,5,9.98,9.98,3,9.73,9.73,1,9.56,9.56
4,13.13,22.99,3,13.15,22.88,6,13.06,23.19,5,13.11,23.09,2,12.95,22.68,1,12.93,22.49
5,12.65,35.64,3,12.67,35.55,4,12.43,35.62,6,12.66,35.75,2,12.74,35.42,1,12.79,35.28
5,12.03,47.67,4,12.01,47.56,1,11.55,47.17,6,11.92,47.67,3,12.01,47.43,2,12.01,47.29
6,11.33,59.00,5,11.33,58.89,2,11.40,58.57,1,10.83,58.50,4,11.30,58.73,3,11.38,58.67
6,10.73,1:09.73,5,10.76,1:09.65,2,10.78,1:09.35,3,10.86,1:09.36,4,10.74,1:09.47,1,10.53,1:09.20
3,9.95,1:19.68,1,9.98,1:19.63,4,10.39,1:19.74,6,10.51,1:19.87,5,10.39,1:19.86,2,10.46,1:19.66
2,9.48,1:29.16,1,9.46,1:29.09,5,9.65,1:29.39,3,9.30,1:29.17,6,9.64,1:29.50,4,9.52,1:29.18
2,9.43,1:38.59,1,9.36,1:38.45,4,9.55,1:38.94,6,24.42,1:53.59,5,9.58,1:39.08,3,9.58,1:38.76
2,9.38,1:47.97,1,9.42,1:47.87,4,9.34,1:48.28,6,12.08,2:05.67,5,9.33,1:48.41,3,9.40,1:48.16
2,9.26,1:57.23,1,9.25,1:57.12,4,9.24,1:57.52,6,11.38,2:17.05,5,9.40,1:57.81,3,9.26,1:57.42
2,9.18,2:06.41,1,9.16,2:06.28,3,9.25,2:06.77,6,10.35,2:27.40,5,9.57,2:07.38,4,9.46,2:06.88
2,9.29,2:15.70,1,9.28,2:15.56,3,9.49,2:16.26,6,10.60,2:38.00,5,9.99,2:17.37,4,9.74,2:16.62
0,,PEN,1,9.60,2:25.156,2,9.87,2:26.121,5,10.98,2:48.979,4,10.56,2:27.922,3,10.30,2:26.920
